,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,last_review,calculated_host_listings_count,availability_365,price_per_minimum_night,review_rate_per_month,is_expensive
0,2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40,-73,Private room,2018-10-19,6,365,149.0,1.89,False
1,2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40,-73,Entire home/apt,2019-05-21,2,355,225.0,17.1,False
3,3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,40,-73,Entire home/apt,2019-07-05,1,194,89.0,1252.8,False
4,5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,Manhattan,East Harlem,40,-73,Entire home/apt,2018-11-19,1,0,8.0,0.9,False
5,5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,40,-73,Entire home/apt,2019-06-22,1,129,66.66666666666667,43.66,False
6,5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,40,-73,Private room,2017-10-05,1,0,1.3333333333333333,19.6,False
7,5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,40,-73,Private room,2019-06-24,1,220,39.5,1492.1000000000001,False
8,5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,40,-73,Private room,2017-07-21,1,0,39.5,116.82,False
9,5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Manhattan,Chinatown,40,-73,Entire home/apt,2019-06-09,4,188,150.0,212.8,False
10,5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,40,-73,Entire home/apt,2019-06-22,1,6,27.0,22.79,False
11,5441,Central Manhattan/near Broadway,7989,Kate,Manhattan,Hell's Kitchen,40,-73,Private room,2019-06-23,1,39,42.5,282.0,False
12,5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,40,-73,Private room,2019-06-24,3,314,22.25,223.78,False
13,6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Manhattan,Upper West Side,40,-73,Private room,2019-07-05,1,333,42.5,102.83,False
14,6090,West Village Nest - Superhost,11975,Alina,Manhattan,West Village,40,-74,Entire home/apt,2018-10-31,1,0,1.3333333333333333,5.94,False
15,6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40,-73,Entire home/apt,2019-06-29,1,46,70.0,177.6,False
16,7097,Perfect for Your Parents + Garden,17571,Jane,Brooklyn,Fort Greene,40,-73,Entire home/apt,2019-06-28,1,321,107.5,340.56,False
17,7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,40,-73,Private room,2019-07-01,1,12,140.0,551.2,False
18,7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,40,-73,Entire home/apt,2019-06-22,1,21,33.0,235.32000000000002,False
20,7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,40,-73,Entire home/apt,2011-12-28,1,0,99.66666666666667,0.6300000000000001,False
21,8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,40,-73,Private room,2019-07-01,6,347,65.0,141.70000000000002,False
22,8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,40,-73,Private room,2019-01-01,6,364,80.0,14.43,False
23,8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,40,-73,Private room,2019-07-02,6,304,55.0,43.31,False
24,8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40,-73,Entire home/apt,2019-06-19,2,233,60.0,64.24,False
25,8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,40,-73,Private room,2019-06-23,2,85,60.0,26.03,False
27,9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40,-73,Entire home/apt,2017-08-13,1,75,15.0,28.419999999999998,False
28,9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,Manhattan,Inwood,40,-73,Private room,2019-06-15,3,311,14.666666666666666,119.88000000000001,False
29,9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,Manhattan,East Village,40,-73,Entire home/apt,2019-04-19,1,67,12.857142857142858,6.96,False
30,9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,40,-73,Private room,2019-06-01,3,355,16.666666666666668,493.68,False
